Temp. K,Press. MPa,Cv-J/mol*k,DOI
278.0,0.1,26.82,  10.1080/14786442508634723
222.0,0.08,24.64,  10.1080/14786442508634723
180.0,0.03,23.77,  10.1080/14786442508634723
83.0,0.03,75.31,  10.1080/14786442508634723
200.94,6.49,34.62, 10.6028/jres.080A.069  
202.61,6.8,34.08, 10.6028/jres.080A.069  
205.12,7.26,33.37, 10.6028/jres.080A.069  
208.47,7.89,32.75, 10.6028/jres.080A.069  
212.7,8.69,32.13, 10.6028/jres.080A.069  
217.78,9.65,31.67, 10.6028/jres.080A.069  
190.96,4.67,52.45, 10.6028/jres.080A.069  
192.49,4.94,40.76, 10.6028/jres.080A.069 
194.09,5.23,38.44, 10.6028/jres.080A.069 
195.71,5.52,37.11, 10.6028/jres.080A.069  
197.28,5.81,36.02, 10.6028/jres.080A.069  
198.91,6.11,35.27, 10.6028/jres.080A.069  
200.56,6.42,34.71, 10.6028/jres.080A.069  
202.22,6.72,34.03, 10.6028/jres.080A.069  
204.72,7.19,33.47, 10.6028/jres.080A.069  
208.09,7.82,32.83, 10.6028/jres.080A.069  
212.33,8.62,32.2, 10.6028/jres.080A.069  
170.4,6.54,30.44, 10.6028/jres.080A.069  
172.19,7.69,30.49, 10.6028/jres.080A.069  
174.9,9.42,30.4, 10.6028/jres.080A.069  
178.51,11.72,20.35, 10.6028/jres.080A.069  
182.09,13.99,20.28, 10.6028/jres.080A.069  
146.61,6.85,31.2, 10.6028/jres.080A.069  
148.36,8.54,31.28, 10.6028/jres.080A.069  
150.09,10.2,31.29, 10.6028/jres.080A.069  
152.69,12.68,31.25, 10.6028/jres.080A.069  
156.17,15.96,31.2, 10.6028/jres.080A.069  
160.06,19.58,31.18, 10.6028/jres.080A.069  
164.35,23.52,31.11, 10.6028/jres.080A.069
200.34,5.69,35.35, 10.6028/jres.078A.023
201.34,5.8,35.0, 10.6028/jres.078A.023
207.85,6.52,33.15, 10.6028/jres.078A.023
208.17,6.56,33.14, 10.6028/jres.078A.023
215.4,7.35,31.73, 10.6028/jres.078A.023
222.94,8.16,31.05, 10.6028/jres.078A.023
222.99,8.17,31.06, 10.6028/jres.078A.023
230.37,8.96,30.7, 10.6028/jres.078A.023
230.45,8.97,30.45, 10.6028/jres.078A.023
237.53,9.72,30.42, 10.6028/jres.078A.023
238.13,9.79,30.2, 10.6028/jres.078A.023
244.73,10.49,30.05, 10.6028/jres.078A.023
245.48,10.57,30.08, 10.6028/jres.078A.023
252.81,11.34,30.07, 10.6028/jres.078A.023
266.35,12.77,29.79, 10.6028/jres.078A.023
195.78,5.39,39.33, 10.6028/jres.078A.023
198.09,5.73,37.0, 10.6028/jres.078A.023
198.43,5.78,36.92, 10.6028/jres.078A.023
202.6,6.4,34.82, 10.6028/jres.078A.023
203.14,6.49,44.03, 10.6028/jres.078A.023
203.38,6.52,34.79, 10.6028/jres.078A.023
203.73,6.57,34.38, 10.6028/jres.078A.023
208.7,7.32,33.08, 10.6028/jres.078A.023
209.06,7.37,33.45, 10.6028/jres.078A.023
209.53,7.44,32.88, 10.6028/jres.078A.023
209.85,7.49,33.02, 10.6028/jres.078A.023
214.04,8.12,32.48, 10.6028/jres.078A.023
216.47,8.48,31.75, 10.6028/jres.078A.023
216.81,8.54,32.19, 10.6028/jres.078A.023
223.4,9.53,31.32, 10.6028/jres.078A.023
230.79,10.64,30.43, 10.6028/jres.078A.023
237.76,11.68,30.0, 10.6028/jres.078A.023
244.64,12.72,29.86, 10.6028/jres.078A.023
251.49,13.75,29.65, 10.6028/jres.078A.023
259.4,14.93,29.63, 10.6028/jres.078A.023
266.15,15.94,29.56, 10.6028/jres.078A.023
282.52,18.38,29.92, 10.6028/jres.078A.023
289.15,19.37,29.96, 10.6028/jres.078A.023
295.82,20.36,30.17, 10.6028/jres.078A.023
195.63,5.53,37.16, 10.6028/jres.078A.023
196.58,5.71,36.18, 10.6028/jres.078A.023
203.92,7.06,33.22, 10.6028/jres.078A.023
211.37,8.46,31.91, 10.6028/jres.078A.023
215.63,9.26,31.15, 10.6028/jres.078A.023
218.79,9.86,30.92, 10.6028/jres.078A.023
223.65,10.78,30.61, 10.6028/jres.078A.023
226.19,11.27,30.35, 10.6028/jres.078A.023
231.68,12.31,30.16, 10.6028/jres.078A.023
233.57,12.67,30.13, 10.6028/jres.078A.023
239.62,13.83,30.04, 10.6028/jres.078A.023
204.92,14.08,29.65, 10.6028/jres.078A.023
248.73,15.58,29.6, 10.6028/jres.078A.023
257.45,17.25,29.53, 10.6028/jres.078A.023
266.96,19.06,29.63, 10.6028/jres.078A.023
276.53,20.89,29.7, 10.6028/jres.078A.023
296.36,24.66,30.1, 10.6028/jres.078A.023
204.75,7.77,32.39, 10.6028/jres.078A.023
212.02,9.39,31.48, 10.6028/jres.078A.023
219.26,11.02,30.87, 10.6028/jres.078A.023
226.52,12.67,30.48, 10.6028/jres.078A.023
234.07,14.39,30.16, 10.6028/jres.078A.023
241.25,16.03,29.98, 10.6028/jres.078A.023
248.39,17.66,29.96, 10.6028/jres.078A.023
262.57,20.9,29.92, 10.6028/jres.078A.023
276.78,24.14,30.31, 10.6028/jres.078A.023
276.94,24.18,30.11, 10.6028/jres.078A.023
283.78,25.73,30.15, 10.6028/jres.078A.023
290.59,27.28,30.38, 10.6028/jres.078A.023
297.43,28.82,30.69, 10.6028/jres.078A.023
191.54,5.22,34.04, 10.6028/jres.078A.023
195.04,6.12,32.77, 10.6028/jres.078A.023
198.64,7.06,32.0, 10.6028/jres.078A.023
200.32,7.5,31.86, 10.6028/jres.078A.023
205.82,8.96,31.17, 10.6028/jres.078A.023
208.73,9.74,30.94, 10.6028/jres.078A.023
212.95,10.87,30.59, 10.6028/jres.078A.023
217.1,11.99,30.29, 10.6028/jres.078A.023
220.07,12.79,30.15, 10.6028/jres.078A.023
225.39,14.24,30.03, 10.6028/jres.078A.023
227.17,14.72,30.07, 10.6028/jres.078A.023
234.29,16.66,29.83, 10.6028/jres.078A.023
234.42,16.69,29.8, 10.6028/jres.078A.023
241.37,18.59,29.65, 10.6028/jres.078A.023
242.49,18.9,29.59, 10.6028/jres.078A.023
248.29,20.48,29.48, 10.6028/jres.078A.023
255.2,22.36,29.5, 10.6028/jres.078A.023
262.14,24.25,29.66, 10.6028/jres.078A.023 
265.54,25.18,29.68, 10.6028/jres.078A.023
269.54,26.27,29.69, 10.6028/jres.078A.023
273.5,27.34,29.89, 10.6028/jres.078A.023
277.49,28.42,29.88, 10.6028/jres.078A.023
281.44,29.49,30.06, 10.6028/jres.078A.023
289.35,31.62,30.56, 10.6028/jres.078A.023
187.95,5.11,32.04, 10.6028/jres.078A.023
188.67,5.35,31.99, 10.6028/jres.078A.023
191.58,6.32,31.54, 10.6028/jres.078A.023
195.12,7.52,31.07, 10.6028/jres.078A.023
195.64,7.69,31.04, 10.6028/jres.078A.023
199.14,8.88,30.67, 10.6028/jres.078A.023
202.28,9.95,30.67, 10.6028/jres.078A.023
202.63,10.07,30.44, 10.6028/jres.078A.023
209.41,12.39,30.2, 10.6028/jres.078A.023
209.57,12.45,30.26, 10.6028/jres.078A.023
216.49,14.83,29.91, 10.6028/jres.078A.023
216.51,14.84,29.88, 10.6028/jres.078A.023
223.35,17.19,29.8, 10.6028/jres.078A.023
223.9,17.38,29.78, 10.6028/jres.078A.023
230.44,19.64,29.64, 10.6028/jres.078A.023
237.25,21.98,29.73, 10.6028/jres.078A.023 
244.05,24.32,29.59, 10.6028/jres.078A.023
250.78,26.63,29.63, 10.6028/jres.078A.023
257.42,28.9,29.69, 10.6028/jres.078A.023
264.04,31.16,29.94, 10.6028/jres.078A.023
270.62,33.4,29.85, 10.6028/jres.078A.023
185.5,4.25,32.61, 10.6028/jres.078A.023
187.59,4.93,32.2, 10.6028/jres.078A.023
189.59,5.59,31.83, 10.6028/jres.078A.023
191.59,6.26,31.73, 10.6028/jres.078A.023
192.87,6.68,31.41, 10.6028/jres.078A.023
193.6,6.93,31.16, 10.6028/jres.078A.023
195.62,7.6,31.04, 10.6028/jres.078A.023
197.62,8.27,31.16, 10.6028/jres.078A.023
199.63,8.95,30.83, 10.6028/jres.078A.023
200.03,9.08,30.75, 10.6028/jres.078A.023
209.23,12.19,30.25, 10.6028/jres.078A.023
217.88,15.14,29.79, 10.6028/jres.078A.023
223.22,16.96,29.83, 10.6028/jres.078A.023
223.9,17.19,29.83, 10.6028/jres.078A.023
229.42,19.08,29.84, 10.6028/jres.078A.023
229.45,19.09,29.8, 10.6028/jres.078A.023
239.42,22.49,29.68, 10.6028/jres.078A.023
241.5,23.2,29.75, 10.6028/jres.078A.023
247.52,25.24,29.71, 10.6028/jres.078A.023
253.44,27.25,29.74, 10.6028/jres.078A.023
259.33,29.25,29.87, 10.6028/jres.078A.023
265.2,31.23,29.86, 10.6028/jres.078A.023
184.76,4.54,31.72, 10.6028/jres.078A.023 
187.83,5.67,31.36, 10.6028/jres.078A.023
190.1,6.51,31.15, 10.6028/jres.078A.023
194.73,8.23,30.68, 10.6028/jres.078A.023
195.44,8.49,30.68, 10.6028/jres.078A.023
201.09,10.6,30.2, 10.6028/jres.078A.023
202.94,11.28,30.24, 10.6028/jres.078A.023
206.06,12.45,30.2, 10.6028/jres.078A.023
206.12,12.48,30.02, 10.6028/jres.078A.023
208.68,13.43,30.18, 10.6028/jres.078A.023
210.4,14.08,29.88, 10.6028/jres.078A.023
211.35,14.43,29.99, 10.6028/jres.078A.023
214.14,15.48,29.85, 10.6028/jres.078A.023
215.02,15.81,29.84, 10.6028/jres.078A.023
216.66,16.43,29.92, 10.6028/jres.078A.023
219.58,17.52,29.73, 10.6028/jres.078A.023
225.0,19.55,29.75, 10.6028/jres.078A.023
232.34,22.3,29.59, 10.6028/jres.078A.023
237.66,24.29,29.65, 10.6028/jres.078A.023
243.1,26.32,29.8, 10.6028/jres.078A.023
248.52,28.33,29.69, 10.6028/jres.078A.023
253.92,30.34,29.83, 10.6028/jres.078A.023
259.3,32.33,29.91, 10.6028/jres.078A.023
187.32,5.85,31.22, 10.6028/jres.078A.023
193.92,8.4,30.51, 10.6028/jres.078A.023
196.59,9.43,30.4, 10.6028/jres.078A.023
203.95,12.3,30.12, 10.6028/jres.078A.023 
211.99,15.44,30.03, 10.6028/jres.078A.023 
219.9,18.53,29.78, 10.6028/jres.078A.023 
227.77,21.6,29.7, 10.6028/jres.078A.023 
235.6,24.64,29.74, 10.6028/jres.078A.023 
245.29,28.39,29.64, 10.6028/jres.078A.023 
252.93,31.33,29.67, 10.6028/jres.078A.023 
178.58,3.8,31.28, 10.6028/jres.078A.023
181.65,5.18,30.99, 10.6028/jres.078A.023
186.22,7.25,30.6, 10.6028/jres.078A.023
192.3,10.01,30.38, 10.6028/jres.078A.023 
198.35,12.75,30.09, 10.6028/jres.078A.023 
204.38,15.48,29.96, 10.6028/jres.078A.023 
210.37,18.19,29.8, 10.6028/jres.078A.023 
216.64,21.02,29.74, 10.6028/jres.078A.023 
222.62,23.71,29.81, 10.6028/jres.078A.023 
228.49,26.33,29.74, 10.6028/jres.078A.023 
234.3,28.92,29.68, 10.6028/jres.078A.023 
240.99,31.89,29.84, 10.6028/jres.078A.023 
172.6,4.03,30.64, 10.6028/jres.078A.023 
178.55,7.34,30.59, 10.6028/jres.078A.023
181.61,9.04,30.31, 10.6028/jres.078A.023
184.64,10.72,30.26, 10.6028/jres.078A.023 
187.63,12.37,30.09, 10.6028/jres.078A.023 
190.68,14.06,30.08, 10.6028/jres.078A.023 
193.64,15.69,30.02, 10.6028/jres.078A.023 
196.69,17.36,29.98, 10.6028/jres.078A.023 
199.62,18.96,29.92, 10.6028/jres.078A.023 
202.66,20.63,29.98, 10.6028/jres.078A.023 
205.57,22.21,29.8, 10.6028/jres.078A.023 
208.62,23.86,29.85, 10.6028/jres.078A.023 
211.48,25.41,29.84, 10.6028/jres.078A.023 
214.52,27.06,29.78, 10.6028/jres.078A.023 
217.57,28.7,29.75, 10.6028/jres.078A.023 
220.39,30.21,29.84, 10.6028/jres.078A.023 
223.41,31.82,29.79, 10.6028/jres.078A.023 
161.14,3.94,30.54, 10.6028/jres.078A.023
165.19,6.85,30.57, 10.6028/jres.078A.023
166.83,8.02,30.51, 10.6028/jres.078A.023
171.92,11.64,30.5, 10.6028/jres.078A.023 
172.49,12.04,30.34, 10.6028/jres.078A.023 
178.09,15.99,30.31, 10.6028/jres.078A.023 
178.58,16.33,30.27, 10.6028/jres.078A.023 
183.64,19.86,30.22, 10.6028/jres.078A.023 
185.18,20.93,30.19, 10.6028/jres.078A.023 
189.15,23.68,30.24, 10.6028/jres.078A.023 
191.73,25.45,30.18, 10.6028/jres.078A.023 
194.63,27.43,30.23, 10.6028/jres.078A.023 
198.23,29.88,30.14, 10.6028/jres.078A.023 
200.08,31.14,30.11, 10.6028/jres.078A.023 
153.98,3.08,31.04, 10.6028/jres.078A.023
157.88,6.21,30.93, 10.6028/jres.078A.023
162.2,9.65,30.8, 10.6028/jres.078A.023
166.5,13.04,30.83, 10.6028/jres.078A.023
170.77,16.38,30.72, 10.6028/jres.078A.023
175.01,19.68,30.57, 10.6028/jres.078A.023
179.31,22.99,30.61, 10.6028/jres.078A.023
183.51,26.2,30.43, 10.6028/jres.078A.023
187.7,29.37,30.47, 10.6028/jres.078A.023
148.83,4.45,31.31, 10.6028/jres.078A.023
155.54,10.41,31.1, 10.6028/jres.078A.023
155.97,10.79,31.1, 10.6028/jres.078A.023
156.94,11.64,31.04, 10.6028/jres.078A.023
162.13,16.18,30.96, 10.6028/jres.078A.023
162.56,16.55,30.93, 10.6028/jres.078A.023
168.65,21.8,30.92, 10.6028/jres.078A.023
169.08,22.16,30.83, 10.6028/jres.078A.023
175.12,27.29,30.8, 10.6028/jres.078A.023
175.53,27.63,30.9, 10.6028/jres.078A.023
139.07,4.54,31.8, 10.6028/jres.078A.023
143.27,8.86,31.66, 10.6028/jres.078A.023
147.45,13.09,31.61, 10.6028/jres.078A.023
151.6,17.25,31.44, 10.6028/jres.078A.023
155.91,21.51,31.55, 10.6028/jres.078A.023
160.01,25.52,31.26, 10.6028/jres.078A.023
164.07,29.44,31.27, 10.6028/jres.078A.023
130.51,3.48,32.66, 10.6028/jres.078A.023
131.69,4.84,32.45, 10.6028/jres.078A.023
132.69,5.98,32.48, 10.6028/jres.078A.023
134.14,7.63,32.17, 10.6028/jres.078A.023
137.16,11.04,32.08, 10.6028/jres.078A.023
139.34,13.48,31.95, 10.6028/jres.078A.023
142.55,17.03,31.91, 10.6028/jres.078A.023
143.71,18.31,31.96, 10.6028/jres.078A.023
147.89,22.86,31.79, 10.6028/jres.078A.023
149.12,24.19,31.73, 10.6028/jres.078A.023
153.19,28.54,31.73, 10.6028/jres.078A.023
154.47,29.9,31.84, 10.6028/jres.078A.023
121.16,6.45,33.15, 10.6028/jres.078A.023
124.22,10.47,32.96, 10.6028/jres.078A.023
127.26,14.4,32.76, 10.6028/jres.078A.023
130.27,18.24,32.69, 10.6028/jres.078A.023
110.87,4.5,33.91, 10.6028/jres.078A.023
111.92,6.05,33.79, 10.6028/jres.078A.023
111.86,5.96,33.72, 10.6028/jres.078A.023
116.03,12.05,33.56, 10.6028/jres.078A.023
117.05,13.52,33.48, 10.6028/jres.078A.023
122.09,20.64,33.41, 10.6028/jres.078A.023
122.09,20.65,33.31, 10.6028/jres.078A.023
127.1,27.55,33.18, 10.6028/jres.078A.023
127.12,27.58,33.21, 10.6028/jres.078A.023   
102.42,4.84,34.43, 10.6028/jres.078A.023   
105.03,9.09,34.27, 10.6028/jres.078A.023   
107.47,12.99,34.13, 10.6028/jres.078A.023   
110.06,17.07,34.05, 10.6028/jres.078A.023   
112.45,20.78,34.03, 10.6028/jres.078A.023   
115.14,24.9,34.0, 10.6028/jres.078A.023   
117.36,28.25,33.88, 10.6028/jres.078A.023   
92.59,4.03,35.33, 10.6028/jres.078A.023   
92.61,4.05,35.41, 10.6028/jres.078A.023   
93.79,6.24,35.19, 10.6028/jres.078A.023   
95.47,9.29,35.0, 10.6028/jres.078A.023   
95.63,9.59,35.02, 10.6028/jres.078A.023   
96.67,11.45,34.9, 10.6028/jres.078A.023    
98.3,14.33,34.91, 10.6028/jres.078A.023    
99.5,16.44,34.83, 10.6028/jres.078A.023    
101.12,19.25,34.84, 10.6028/jres.078A.023   
102.32,21.31,34.71, 10.6028/jres.078A.023   
103.9,24.0,34.79, 10.6028/jres.078A.023   
105.1,26.03,34.6, 10.6028/jres.078A.023   
106.66,28.63,34.64, 10.6028/jres.078A.023 