Temperature (K),Pressure (MPa),Joule-Thomson (K/MPa),Reference
293.15,0.000,4.000,Budenholzer-1939
293.15,1.724,4.200,Budenholzer-1939
293.15,3.447,4.200,Budenholzer-1939
293.15,5.171,4.050,Budenholzer-1939
293.15,6.895,3.850,Budenholzer-1939
293.15,8.618,3.570,Budenholzer-1939
293.15,10.342,3.280,Budenholzer-1939
310.93,0.000,3.550,Budenholzer-1939
310.93,1.724,3.700,Budenholzer-1939
310.93,3.447,3.710,Budenholzer-1939
310.93,5.171,3.610,Budenholzer-1939
310.93,6.895,3.420,Budenholzer-1939
310.93,8.618,3.180,Budenholzer-1939
310.93,10.342,2.910,Budenholzer-1939
327.15,0.000,3.150,Budenholzer-1939
327.15,1.724,3.290,Budenholzer-1939
327.15,3.447,3.300,Budenholzer-1939
327.15,5.171,3.210,Budenholzer-1939
327.15,6.895,3.030,Budenholzer-1939
327.15,8.618,2.810,Budenholzer-1939
327.15,10.342,2.550,Budenholzer-1939
342.15,0.000,2.800,Budenholzer-1939
342.15,1.724,2.950,Budenholzer-1939
342.15,3.447,2.950,Budenholzer-1939
342.15,5.171,2.860,Budenholzer-1939
342.15,6.895,2.690,Budenholzer-1939
342.15,8.618,2.480,Budenholzer-1939
342.15,10.342,2.260,Budenholzer-1939
366.15,0.000,2.500,Budenholzer-1939
366.15,1.724,2.640,Budenholzer-1939
366.15,3.447,2.650,Budenholzer-1939
366.15,5.171,2.560,Budenholzer-1939
366.15,6.895,2.410,Budenholzer-1939
366.15,8.618,2.210,Budenholzer-1939
366.15,10.342,1.990,Budenholzer-1939
393.15,0.000,2.240,Budenholzer-1939
393.15,1.724,2.370,Budenholzer-1939
393.15,3.447,2.380,Budenholzer-1939
393.15,5.171,2.300,Budenholzer-1939
393.15,6.895,2.160,Budenholzer-1939
393.15,8.618,1.970,Budenholzer-1939
393.15,10.342,1.770,Budenholzer-1939
311.86,2.025,3.80,Ayber-1965
311.86,3.040,3.85,Ayber-1965
311.86,4.055,3.92,Ayber-1965
311.86,5.066,3.96,Ayber-1965
311.86,6.078,4.01,Ayber-1965
311.86,7.089,4.03,Ayber-1965
311.86,8.102,4.06,Ayber-1965
268,2.025,5.25,Ayber-1965
268,3.040,5.42,Ayber-1965
268,4.055,5.58,Ayber-1965
268,5.066,5.72,Ayber-1965
268,6.078,5.84,Ayber-1965
268,7.089,5.97,Ayber-1965
268,8.102,6.05,Ayber-1965
248.54,2.025,6.17,Ayber-1965
248.54,3.040,6.50,Ayber-1965
248.54,4.055,6.75,Ayber-1965
248.54,5.066,6.98,Ayber-1965
248.54,6.078,7.15,Ayber-1965
248.54,7.089,7.32,Ayber-1965
248.54,8.102,7.45,Ayber-1965